Protocol,Measure,Timepoint,2-Hydroxybutyric acid,3-Methyl-2-oxopentanoic acid,4-Methyl-2-oxopentanoic acid,9-Heptadecenoic acid (C17_1n-8t)/10-Heptadecenoic acid (C17_1n-7t),"Adrenic acid (C22_4n-6,9,12,15c)",Alanine,Arachidic acid (C20_0),"Arachidonic acid (C20_4n-6,9,12,15c)",Azelaic acid,Benzoic acid,"bishomo-gamma-Linolenic acid (C20_3n-6,9,12c)",Caffeine,cis-Aconitic acid,cis-Vaccenic acid (C18_1n-7c),Citraconic acid,Citric acid,Creatinine,Cysteine,Decanoic acid (C10_0),"DHA (C22_6n-3,6,9,12,15,18c)",Dodecanoic acid (C12_0),"EPA (C20_5n-3,6,9,12,15c)","gamma-Linolenic acid (C18_3n-6,9,12c)",Glutamic acid,Glycine,Isoleucine,Itaconic acid,Lactic acid,Leucine,"Linoleic acid (C18_2n-6,9c)",Malonic acid,Margaric acid (C17_0),Methionine,Myristic acid (C14_0),Myristoleic acid (C14_1n-5c),Octanoic acid (C8_0),Oleic acid (C18_1n-9c),Ornithine,Palmitic acid (C16_0),Palmitoleic acid (C16_1n-7c),para-Toluic acid,Phenylalanine,Proline,Quinic acid,Stearic acid (C18_0),Threonine,Tyrosine,Valine
HIIT,mean,PRE,0.012436122,0.026932629,0.02609357,0.002934559,0.004650052,0.892274206,0.006970959,0.160371455,0.000359216,0.004161364,0.040720957,0.006104397,0.003897654,0.264146936,0.001487053,0.078134344,0.006213361,0.005917832,0.00938562,0.056819393,0.016585321,0.0256542,0.019367605,0.018655726,0.213590456,0.137894938,0.00122149,0.568173951,0.338533236,0.464885087,0.001018983,0.03390201,0.029218605,0.050661748,0.000621061,0.010409161,0.216195164,0.092382875,0.865837896,0.009751111,0.008262545,0.10363148,0.913006035,0.05338744,0.691581967,0.042959563,0.061941092,0.613790975
HIIT,mean,POST,0.030574033,0.042725723,0.041303368,0.005282248,0.005341839,1.377259235,0.005449697,0.17909058,0.000388111,0.00548226,0.04656972,0.008932125,0.007642405,0.317492725,0.002168771,0.151764911,0.004753043,0.007055098,0.017146808,0.070166237,0.052050808,0.029404747,0.029870407,0.027359842,0.245817673,0.120233435,0.00237971,1.486618605,0.312356188,0.546274443,0.001615896,0.04754801,0.027624518,0.124135995,0.000905976,0.011281294,0.295813323,0.077557786,1.074854405,0.023183206,0.011174301,0.110559934,1.017756372,0.065864963,0.840873685,0.042218589,0.073387529,0.630856269
HIIT,mean,1 H,0.029013662,0.026748983,0.026785592,0.003955102,0.004417966,1.031811903,0.003603728,0.164199726,0.000277805,0.004614205,0.043532557,0.006166503,0.005611235,0.283905644,0.001869966,0.090205599,0.00402225,0.006716085,0.014125818,0.060044787,0.031499776,0.026959832,0.021109162,0.017459965,0.195140609,0.115119752,0.00170703,0.681880341,0.2968823,0.489511242,0.001652048,0.039959726,0.02686636,0.088615336,0.000732525,0.008149095,0.253369214,0.073720066,0.9550916,0.017501413,0.010107285,0.102153378,0.961756829,0.056623383,0.729012459,0.034235087,0.055181748,0.585330142
HIIT,mean,2 H,0.031150633,0.021634455,0.023557012,0.004474391,0.004494145,0.708058689,0.002789238,0.165403109,0.000242421,0.005000644,0.04318522,0.005599819,0.004185571,0.301191774,0.001987121,0.065610102,0.002900636,0.005531962,0.014425822,0.06278463,0.042712745,0.027065532,0.024069107,0.014729632,0.139192487,0.08413878,0.001303099,0.570984846,0.23483856,0.524912853,0.001456048,0.041361557,0.015778078,0.114237736,0.000773301,0.007101901,0.302633757,0.052073816,1.03146902,0.02228102,0.010974312,0.079428749,0.696966238,0.061194841,0.803052093,0.02197633,0.041720851,0.491730794
HIIT,SD,PRE,0.006418305,0.007085053,0.006723271,0.000856357,0.002626541,0.335345707,0.010344933,0.05331987,0.000314157,0.000616881,0.016086383,0.005952388,0.001668903,0.047449081,0.000803395,0.034870864,0.003468476,0.002816132,0.004906036,0.020390423,0.007079328,0.010085993,0.01158834,0.010284676,0.093392801,0.047564745,0.000425779,0.223999421,0.117394737,0.088213318,0.000590068,0.01291983,0.01025773,0.015382689,0.000142017,0.006890214,0.04358681,0.038755226,0.17025408,0.002932498,0.003982023,0.029671422,0.309579791,0.009543467,0.176417001,0.021339858,0.023087439,0.206216056
HIIT,SD,POST,0.008624466,0.010271577,0.00891284,0.001387965,0.001835875,0.185600103,0.006961475,0.052671918,8.61848E-05,0.000928364,0.008809565,0.009534506,0.001933837,0.056102782,0.000978756,0.054513312,0.002279442,0.003762389,0.009069735,0.024605079,0.019854339,0.011405889,0.009543701,0.013497063,0.148473728,0.029272509,0.000789695,0.34439074,0.070312717,0.101187081,0.000938746,0.014082934,0.005782431,0.029522513,0.000151119,0.007744208,0.063716459,0.049020798,0.192942702,0.010201972,0.004212008,0.018931851,0.195681293,0.01307128,0.200926508,0.02438225,0.029606034,0.103695813
HIIT,SD,1 H,0.008915607,0.003290966,0.004189265,0.001219037,0.001412642,0.228388555,0.003537057,0.046440025,5.02291E-05,0.001009205,0.014383157,0.006917984,0.00174027,0.039479438,0.000840252,0.058375582,0.001867532,0.003277807,0.007232427,0.023604655,0.027880434,0.013463709,0.009019354,0.006500941,0.050360089,0.027723035,0.000570938,0.228326928,0.041616271,0.060528288,0.001111957,0.014637836,0.005720045,0.042994695,0.000148962,0.003376425,0.058407609,0.043603719,0.173093452,0.009517828,0.005509845,0.01188462,0.176930725,0.009940253,0.184785085,0.020638523,0.030230074,0.079487359
HIIT,SD,2 H,0.011913122,0.004870026,0.003616232,0.001121965,0.001624824,0.198636944,0.000932755,0.060896177,5.24918E-05,0.001884916,0.011572355,0.006066426,0.001175037,0.06706688,0.000524996,0.034122841,0.001612606,0.002323553,0.009019661,0.020983155,0.025800118,0.010764044,0.007912684,0.007904119,0.031304485,0.019140478,0.000344827,0.269877936,0.042526129,0.129248869,0.000589671,0.011054026,0.004150041,0.047218729,0.000133665,0.002453266,0.073306398,0.030401796,0.241930111,0.009187736,0.006856019,0.017363795,0.170490984,0.022025483,0.285284642,0.013820677,0.018730173,0.079821084
HIIT,pre-post,,1.47496E-05,0.000422184,0.000311476,0.000171316,0.371626126,0.000571572,0.23905915,0.007270211,0.792429708,0.001849863,0.109999269,0.060472024,1.90026E-06,0.010171798,0.014758811,5.98549E-06,0.347462987,0.099890188,0.004369013,0.044330117,0.000577644,0.255712484,0.03478489,0.006483208,0.402969902,0.172482825,4.30617E-05,1.49871E-05,0.385822448,0.013119699,0.010035472,0.001549245,0.566649976,0.000150293,0.000121591,0.462272329,0.000920967,0.245999318,0.000391222,0.000762352,0.048386084,0.2581706,0.220601764,0.015747845,0.002391598,0.928169145,0.01759282,0.738825331
HIIT,pre-1 h,,5.35591E-05,0.926600537,0.771268152,0.054723849,0.703917931,0.24590381,0.165650706,0.780909487,0.449938758,0.326348607,0.502961618,0.911442343,0.00754873,0.27148716,0.114082168,0.468258463,0.073434465,0.124908532,0.022191427,0.551607626,0.119439414,0.722503733,0.691382351,0.667515516,0.432349914,0.117725082,0.021446023,0.172330993,0.252572291,0.437074823,0.077871181,0.309668108,0.465613351,0.028558478,0.073207388,0.111235637,0.126618849,0.112637079,0.251573485,0.030831421,0.209117237,0.845888634,0.560972089,0.466281584,0.604955307,0.213344245,0.431568683,0.64670929
